time force
0:0:36 4362.60
0:0:36 8838.35
0:0:36 12373.31
0:0:36 12749.03
0:0:36 11240.45
0:0:37 8882.26
0:0:37 5136.12
0:0:37 1606.47
0:0:37 233.29
0:0:37 -29.51
0:0:37 -68.14
0:0:37 -72.94
0:0:37 -72.11
0:0:37 -71.48
0:0:37 -70.57
0:0:37 -69.66
0:0:38 -69.15
0:0:38 -68.83
0:0:38 -68.65
0:0:38 -68.75
0:0:38 -68.92
0:0:38 -69.03
0:0:38 -68.76
0:0:38 -68.79
0:0:38 -68.75
0:0:38 -68.79
0:0:38 -68.82
0:0:38 -69.21
0:0:39 -69.30
0:0:39 -68.97
0:0:39 -69.04
0:0:39 -68.94
0:0:39 -68.89
0:0:39 -68.67
0:0:39 -68.57
0:0:39 -68.62
0:0:39 -68.43
0:0:39 -68.53
0:0:39 -68.92
0:0:40 -69.11
0:0:40 -68.85
0:0:40 -68.59
0:0:40 -68.51
0:0:40 -68.47
0:0:40 -68.38
0:0:40 -68.24
0:0:40 -68.43
0:0:40 -68.31
0:0:40 -68.00
0:0:40 -68.49
0:0:40 -68.97
0:0:41 -68.50
0:0:41 -68.38
0:0:41 -68.31
0:0:41 -68.08
0:0:41 -68.63
0:0:41 -68.95
0:0:41 -68.42
0:0:41 -68.31
0:0:41 -68.15
0:0:41 -68.37
0:0:41 -68.67
0:0:42 -68.21
0:0:42 -68.34
0:0:42 -68.32
0:0:42 -68.31
0:0:42 -68.21
0:0:42 -68.22
0:0:42 -68.55
0:0:42 -68.37
0:0:42 -68.22
0:0:42 -68.29
0:0:42 -68.09
0:0:42 -68.15
0:0:43 -68.61
0:0:43 -68.28
0:0:43 -67.99
0:0:43 -67.78
0:0:43 -68.21
0:0:43 -68.49
0:0:43 -68.54
0:0:43 -68.52
0:0:43 -68.38
0:0:43 -68.45
0:0:43 -68.53
0:0:44 -68.82
0:0:44 -68.71
0:0:44 -68.66
0:0:44 -68.70
0:0:44 -68.86
0:0:44 -68.77
0:0:44 -68.83
0:0:44 -69.00
0:0:44 -68.83
0:0:44 -68.67
0:0:44 -68.76
0:0:45 -68.89
0:0:45 -69.06
0:0:45 -68.97
0:0:45 -68.86
0:0:45 -69.17
0:0:45 -69.10
0:0:45 -69.20
0:0:45 -68.97
0:0:45 -68.75
0:0:45 -69.12
0:0:45 -69.20
0:0:45 -69.07
0:0:46 -68.90
0:0:46 -68.92
0:0:46 -69.11
0:0:46 -69.22
0:0:46 -69.24
0:0:46 -69.41
0:0:46 -69.04
0:0:46 -69.14
0:0:46 -69.07
0:0:46 -69.14
0:0:46 -69.11
0:0:47 -68.88
0:0:47 -69.19
0:0:47 -69.10
0:0:47 -69.17
0:0:47 -69.28
0:0:47 -68.97
0:0:47 -69.06
0:0:47 -69.20
0:0:47 -69.20
0:0:47 -69.60
0:0:47 -69.52
0:0:47 -69.43
0:0:48 -69.30
0:0:48 -69.30
0:0:48 -69.33
0:0:48 -69.55
0:0:48 -69.39
0:0:48 -69.38
0:0:48 -69.12
0:0:48 -69.23
0:0:48 -69.39
0:0:48 -69.36
0:0:48 -69.30
0:0:49 -69.61
0:0:49 -69.46
0:0:49 -69.84
0:0:49 -69.51
0:0:49 -69.54
0:0:49 -69.68
0:0:49 -69.74
0:0:49 -69.42
0:0:49 -69.14
0:0:49 -69.65
0:0:49 -69.93
0:0:49 -69.85
0:0:50 -69.64
0:0:50 -69.49
0:0:50 -69.68
0:0:50 -69.55
0:0:50 -69.53
0:0:50 -69.71
0:0:50 -69.33
0:0:50 -69.52
0:0:50 -69.47
0:0:50 -69.48
0:0:50 -69.61
0:0:51 -69.93
0:0:51 -69.61
0:0:51 -69.69
0:0:51 -69.80
0:0:51 -69.81
0:0:51 -69.78
0:0:51 -69.78
0:0:51 -69.44
0:0:51 -69.46
0:0:51 -69.95
0:0:51 -69.69
0:0:51 -69.46
0:0:52 -69.74
0:0:52 -69.91
0:0:52 -69.87
0:0:52 -70.42
0:0:52 -70.62
0:0:52 -70.06
0:0:52 -70.14
0:0:52 -70.28
0:0:52 -70.27
0:0:52 -70.32
0:0:52 -70.02
0:0:53 -69.84
0:0:53 -69.67
0:0:53 -70.17
0:0:53 -70.11
0:0:53 -70.11
0:0:53 -69.72
0:0:53 -69.93
0:0:53 -70.36
0:0:53 -70.51
0:0:53 -70.49
0:0:53 -70.40
0:0:53 -70.20
0:0:54 -70.26
0:0:54 -70.02
0:0:54 -69.94
0:0:54 -70.07
0:0:54 -69.93
0:0:54 -70.22
0:0:54 -70.81
0:0:54 -70.88
0:0:54 -70.64
0:0:54 -70.37
0:0:54 -70.67
0:0:55 -70.59
0:0:55 -70.54
0:0:55 -70.60
0:0:55 -70.50
0:0:55 -70.20
0:0:55 -70.29
0:0:55 -70.07
0:0:55 -70.30
0:0:55 -70.58
0:0:55 -70.40
0:0:55 -70.51
0:0:55 -70.67
0:0:56 -70.67
0:0:56 -70.35
0:0:56 -70.64
0:0:56 -71.17
0:0:56 -70.55
0:0:56 -70.40
0:0:56 -70.64
0:0:56 -70.64
0:0:56 -70.76
0:0:56 -71.17
0:0:56 -71.06
0:0:57 -71.00
0:0:57 -70.88
0:0:57 -70.85
0:0:57 -70.77
0:0:57 -70.80
0:0:57 -70.73
0:0:57 -70.56
0:0:57 -70.88
0:0:57 -70.87
0:0:57 -70.65
0:0:57 -70.73
0:0:57 -71.01
0:0:58 -71.03
0:0:58 -70.99
0:0:58 -70.72
0:0:58 -70.78
0:0:58 -70.91
0:0:58 -71.10
0:0:58 -71.44
0:0:58 -71.30
0:0:58 -71.04
0:0:58 -71.06
0:0:58 -71.03
0:0:59 -70.82
0:0:59 -71.24
0:0:59 -71.30
0:0:59 -71.30
0:0:59 -71.06
0:0:59 -70.87
0:0:59 -71.27
0:0:59 -71.09
0:0:59 -70.76
0:0:59 -71.08
0:0:59 -70.98
0:1:0 -71.21
0:1:0 -71.17
0:1:0 -71.50
0:1:0 -71.33
0:1:0 -71.23
0:1:0 -71.37
0:1:0 -70.99
0:1:0 -70.98
0:1:0 -70.97
0:1:0 -70.84
0:1:0 -70.87
0:1:0 -70.72
0:1:1 -70.58
0:1:1 -70.67
0:1:1 -70.50
0:1:1 -70.76
0:1:1 -70.85
0:1:1 -70.83
0:1:1 -70.70
0:1:1 -70.61
0:1:1 -70.41
0:1:1 -70.05
0:1:1 -70.16
0:1:2 -70.20
0:1:2 -70.33
0:1:2 -70.22
0:1:2 -70.49
0:1:2 -70.56
0:1:2 -70.57
0:1:2 -70.24
0:1:2 -70.29
0:1:2 -70.87
0:1:2 -71.17
0:1:2 -71.43
0:1:2 -71.57
0:1:3 -71.91
0:1:3 -72.48
0:1:3 -72.69
0:1:3 -72.87
0:1:3 -73.31
0:1:3 -73.64
0:1:3 -74.15
0:1:3 -74.89
0:1:3 -75.25
0:1:3 -75.72
0:1:3 -76.50
0:1:4 -77.46
0:1:4 -77.95
0:1:4 -78.79
0:1:4 -79.62
0:1:4 -79.94
0:1:4 -78.36
0:1:4 -78.34
0:1:4 -78.70
0:1:4 -79.09
0:1:4 -78.80
0:1:4 -78.76
0:1:4 -78.52
0:1:5 -78.42
0:1:5 -78.95
0:1:5 -78.81
0:1:5 -78.63
0:1:5 -78.65
0:1:5 -78.48
0:1:5 -78.63
0:1:5 -78.52
0:1:5 -78.56
0:1:5 -78.59
0:1:5 -78.09
0:1:6 -78.36
0:1:6 -78.37
0:1:6 -78.44
0:1:6 -78.58
0:1:6 -78.41
0:1:6 -78.36
0:1:6 -78.31
0:1:6 -78.62
0:1:6 -78.43
0:1:6 -78.41
0:1:6 -78.37
0:1:6 -78.43
0:1:7 -78.69
0:1:7 -78.70
0:1:7 -78.85
0:1:7 -78.53
0:1:7 -78.24
0:1:7 -78.51
0:1:7 -78.61
0:1:7 -78.46
0:1:7 -78.83
0:1:7 -78.96
0:1:7 -79.29
0:1:8 -79.19
0:1:8 -79.11
0:1:8 -78.81
0:1:8 -78.51
0:1:8 -78.57
0:1:8 -78.74
0:1:8 -78.81
0:1:8 -79.13
0:1:8 -78.88
0:1:8 -78.83
0:1:8 -78.69
0:1:8 -78.47
0:1:9 -78.21
0:1:9 -78.17
0:1:9 -78.29
0:1:9 -78.28
0:1:9 -78.44
0:1:9 -78.38
0:1:9 -78.08
0:1:9 -77.61
0:1:9 -77.03
0:1:9 -76.90
0:1:9 -76.45
0:1:10 -76.36
0:1:10 -76.72
0:1:10 -76.18
0:1:10 -75.72
0:1:10 -75.66
0:1:10 -75.46
0:1:10 -75.24
0:1:10 -75.18
0:1:10 -75.40
0:1:10 -75.46
0:1:10 -74.80
0:1:10 -75.01
0:1:11 -74.80
0:1:11 -74.37
0:1:11 -74.39
0:1:11 -74.58
0:1:11 -74.69
0:1:11 -74.44
0:1:11 -74.11
0:1:11 -74.19
0:1:11 -74.20
0:1:11 -74.26
0:1:11 -74.38
0:1:12 -73.84
0:1:12 -73.96
0:1:12 -74.42
0:1:12 -74.72
0:1:12 -74.25
0:1:12 -74.07
0:1:12 -74.23
0:1:12 -74.29
0:1:12 -74.35
0:1:12 -74.52
0:1:12 -74.64
0:1:12 -74.49
0:1:13 -74.17
0:1:13 -74.27
0:1:13 -74.37
0:1:13 -74.17
0:1:13 -74.43
0:1:13 -74.77
0:1:13 -74.55
0:1:13 -74.14
0:1:13 -74.25
0:1:13 -74.08
0:1:13 -74.43
0:1:14 -74.64
0:1:14 -74.64
0:1:14 -74.42
0:1:14 -74.15
0:1:14 -74.48
0:1:14 -74.42
0:1:14 -74.08
0:1:14 -74.46
0:1:14 -74.81
0:1:14 -74.40
0:1:14 -74.04
0:1:14 -74.16
0:1:15 -74.42
0:1:15 -74.42
0:1:15 -74.51
0:1:15 -74.46
0:1:15 -74.57
0:1:15 -74.39
0:1:15 -74.50
0:1:15 -74.47
0:1:15 -74.18
0:1:15 -74.58
0:1:15 -74.43
0:1:16 -74.37
0:1:16 -74.46
0:1:16 -74.69
0:1:16 -74.45
0:1:16 -74.07
0:1:16 -74.45
0:1:16 -74.22
0:1:16 -74.10
0:1:16 -74.37
0:1:16 -74.32
0:1:16 -74.49
0:1:17 -74.67
0:1:17 -74.79
0:1:17 -74.79
0:1:17 -74.39
0:1:17 -74.66
0:1:17 -74.74
0:1:17 -74.94
0:1:17 -75.06
0:1:17 -75.12
0:1:17 -74.86
0:1:17 -74.76
0:1:17 -74.78
0:1:18 -74.92
0:1:18 -75.10
0:1:18 -75.89
0:1:18 -75.79
0:1:18 -75.58
0:1:18 -75.81
0:1:18 -75.76
0:1:18 -75.98
0:1:18 -76.23
0:1:18 -76.24
0:1:18 -76.53
0:1:19 -76.44
0:1:19 -76.72
0:1:19 -76.65
0:1:19 -76.39
0:1:19 -76.06
0:1:19 -76.60
0:1:19 -76.75
0:1:19 -76.43
0:1:19 -76.11
0:1:19 -76.17
0:1:19 -76.52
0:1:19 -76.68
0:1:20 -76.18
0:1:20 -76.12
0:1:20 -76.51
0:1:20 -76.79
0:1:20 -76.48
0:1:20 -75.99
0:1:20 -75.74
0:1:20 -75.97
0:1:20 -76.11
0:1:20 -76.58
0:1:20 -76.36
0:1:21 -76.06
0:1:21 -76.19
0:1:21 -76.21
0:1:21 -76.17
0:1:21 -76.05
0:1:21 -76.01
0:1:21 -76.19
0:1:21 -75.86
0:1:21 -75.65
0:1:21 -75.88
0:1:21 -75.83
0:1:21 -75.49
0:1:22 -75.42
0:1:22 -75.22
0:1:22 -75.19
0:1:22 -75.26
0:1:22 -75.38
0:1:22 -75.50
0:1:22 -75.52
0:1:22 -75.77
0:1:22 -75.59
0:1:22 -74.68
0:1:22 -74.48
0:1:23 -74.95
0:1:23 -74.70
0:1:23 -74.84
0:1:23 -75.12
0:1:23 -75.24
0:1:23 -75.45
0:1:23 -75.57
0:1:23 -75.30
0:1:23 -75.41
0:1:23 -75.70
0:1:23 -76.13
0:1:23 -75.98
0:1:24 -75.37
0:1:24 -74.70
0:1:24 -74.66
0:1:24 -74.78
0:1:24 -74.73
0:1:24 -74.71
0:1:24 -74.86
0:1:24 -74.95
0:1:24 -75.09
0:1:24 -75.01
0:1:24 -75.22
0:1:25 -75.44
0:1:25 -75.21
0:1:25 -75.47
0:1:25 -75.46
0:1:25 -75.35
0:1:25 -75.00
0:1:25 -74.76
0:1:25 -74.45
0:1:25 -74.74
0:1:25 -75.13
0:1:25 -75.25
0:1:25 -75.33
0:1:26 -75.14
0:1:26 -74.96
0:1:26 -75.11
0:1:26 -75.19
0:1:26 -75.35
0:1:26 -75.55
